CD_PROGRAMA,UF,CONCEITO
23001011008P6,RN,5
23001011055P4,RN,4
23001011071P0,RN,4
23001011074P9,RN,3
23001011075P5,RN,4
23001011173P7,RN,4
23001011051P9,RN,3
23001011067P2,RN,4
22001018074P6,RN,5
23002018070P0,RN,4
23002018007P6,RN,3
23002018074P5,RN,4
23002018005P3,RN,4
23002018006P0,RN,3
23002018071P6,RN,4
23002018009P9,RN,3
23002018008P2,RN,3
23002018073P9,RN,3
23002018004P7,RN,5
23002018010P7,RN,3
23002018072P2,RN,3
23002018002P4,RN,3
23002018003P0,RN,4
23003014011P0,RN,6
23001011050P2,RN,3
23003014016P1,RN,4
23003014013P2,RN,5
23003014074P1,RN,3
23003014073P5,RN,3
23003014072P9,RN,4
23003014051P1,RN,4
23003014019P0,RN,3
23003014017P8,RN,3
23003014018P4,RN,4
23004010008P5,RN,4
23004010002P7,RN,4
23004010004P0,RN,4
23004010005P6,RN,3
23005017001P7,RN,5
23005017002P3,RN,3
23009004004P6,CE,4
23009004005P2,CE,3
23009004003P0,CE,4
23009004001P7,CE,4
23022000001P6,CE,4
23027002001P8,CE,A
24001015055P7,PB,6
23001011047P1,PB,4
24001015016P1,PB,5
24001015029P6,PB,5
24001015073P5,PB,4
24001015047P4,PB,4
24001015072P9,PB,4
24001015038P5,PB,4
24001015056P3,PB,4
24001015084P7,PB,3
24001015078P7,PB,3
24001015010P3,PB,4
24001015019P0,PB,4
24001015061P7,PB,5
24001015044P5,PB,4
24001015069P8,PB,3
24001015037P9,PB,4
24001015065P2,PB,4
24001015067P5,PB,5
24001015042P2,PB,4
24001015035P6,PB,5
24001015041P6,PB,5
24001015053P4,PB,3
24001015027P3,PB,5
24001015048P0,PB,6
24001015057P0,PB,3
24001015060P0,PB,4
24001015051P1,PB,5
24001015071P2,PB,2
24001015052P8,PB,5
24001015066P9,PB,4
24001015068P1,PB,4
24001015034P0,PB,4
24001015030P4,PB,5
24001015049P7,PB,4
24001015063P0,PB,5
24001015059P2,PB,3
24001015074P1,PB,4
24001015015P5,PB,6
24001015017P8,PB,5
24001015079P3,PB,3
24001015064P6,PB,3
24001015045P1,PB,4
24001015001P4,PB,4
24001015054P0,PB,3
24001015002P0,PB,5
24001015075P8,PB,5
24001015025P0,PB,5
24001015062P3,PB,3
24001015040P0,PB,5
24001015005P0,PB,4
24001015076P4,PB,3
24001015004P3,PB,5
24001015077P0,PB,4
24001015080P1,PB,4
24001015050P5,PB,4
24001015083P0,PB,3
24001015082P4,PB,3
24001031021P6,PB,3
24001031020P0,PB,5
24001031025P1,PB,4
24001031026P8,PB,3
24001040001P4,PB,4
24003018001P7,PB,3
24004014007P1,PB,3
24004014010P2,PB,4
24004014015P4,PB,3
24004014011P9,PB,4
24004014009P4,PB,3
24004014070P5,PB,3
24004014005P9,PB,4
24004014018P3,PB,4
24004014012P5,PB,5
24004014004P2,PB,4
24004014014P8,PB,3
24004014006P5,PB,4
24004014008P8,PB,3
24004014013P1,PB,3
24004014016P0,PB,3
24004014017P7,PB,4
24007013002P9,PB,3
24007013001P2,PB,3
24009016030P5,PB,4
24009016014P0,PB,6
24009016001P5,PB,4
24009016018P5,PB,3
24009016017P9,PB,4
24009016003P8,PB,6
24009016071P3,PB,3
24009016002P1,PB,5
24009016009P6,PB,4
24009016171P8,PB,3
24001015058P6,PB,5
24009016029P7,PB,1
24009016013P3,PB,3
24009016031P1,PB,4
24009016015P6,PB,4
24009016172P4,PB,3
24009016027P4,PB,1
24009016005P0,PB,4
24009016070P7,PB,3
24009016012P7,PB,4
24009016010P4,PB,4
24009016011P0,PB,5
24009016173P0,PB,3
24009016028P0,PB,3
24009016021P6,PB,3
24009016007P3,PB,5
24009016025P1,PB,3
24009016004P4,PB,4
24009016019P1,PB,4
24009016026P8,PB,3
25001019087P9,PE,5
25001019020P1,PE,5
25001019023P0,PE,4
25001019024P7,PE,5
25001019095P1,PE,3
25001019018P7,PE,5
25001019093P9,PE,4
25001019097P4,PE,3
25001019054P3,PE,4
25001019060P3,PE,5
25001019041P9,PE,6
25001019057P2,PE,5
25001019017P0,PE,6
25001019034P2,PE,5
25001019037P1,PE,4
25001019080P4,PE,4
25001019045P4,PE,6
25001019081P0,PE,4
25001019156P0,PE,3
25001019157P7,PE,3
25001019026P0,PE,3
25001019016P4,PE,5
25001019079P6,PE,5
25001019172P6,PE,4
25001019040P2,PE,6
25001019174P9,PE,3
25001019010P6,PE,6
25001019021P8,PE,7
25001019052P0,PE,4
25001019059P5,PE,5
25001019069P0,PE,5
25001019004P6,PE,7
25001019171P0,PE,3
25001019030P7,PE,4
25001019094P5,PE,4
25001019073P8,PE,5
25001019027P6,PE,4
25001019043P1,PE,4
25001019046P0,PE,5
25001019019P3,PE,5
25001019088P5,PE,3
25001019055P0,PE,3
25001019050P8,PE,4
25001019072P1,PE,4
25001019084P0,PE,4
25001019092P2,PE,4
25001019090P0,PE,3
25001019089P1,PE,3
25001019083P3,PE,4
25001019007P5,PE,4
25001019002P3,PE,7
25001019085P6,PE,4
25001019015P8,PE,5
25001019082P7,PE,4
25001019036P5,PE,5
25001019062P6,PE,4
25001019013P5,PE,5
25001019028P2,PE,5
25001019066P1,PE,5
25001019044P8,PE,5
25001019077P3,PE,5
25001019031P3,PE,6
25001019065P5,PE,4
25001019033P6,PE,6
25001019068P4,PE,4
25001019012P9,PE,5
25001019074P4,PE,4
25001019003P0,PE,5
25001019173P2,PE,3
25001019091P6,PE,4
25001019175P5,PE,A
25001019078P0,PE,1
25001019001P7,PE,5
25001019063P2,PE,1
25001019048P3,PE,5
25001019038P8,PE,7
25001019009P8,PE,5
25001019032P0,PE,5
25001019053P7,PE,5
25001019029P9,PE,5
25001019058P9,PE,4
25002015008P8,PE,4
25002015003P6,PE,5
25002015002P0,PE,2
25002015005P9,PE,4
25002015001P3,PE,4
25002015010P2,PE,3
25002015007P1,PE,3
25002015009P4,PE,3
25002015004P2,PE,4
25002015006P5,PE,5
25003011075P3,PE,3
25003011018P0,PE,6
25003011002P6,PE,5
25003011020P4,PE,4
25003011014P4,PE,4
25003011038P0,PE,4
25003011073P0,PE,3
25003011021P0,PE,3
25003011072P4,PE,4
25003011032P2,PE,3
25003011010P9,PE,5
25003011028P5,PE,5
25003011033P9,PE,5
25003011024P0,PE,4
25003011030P0,PE,4
25003011011P5,PE,5
25003011070P1,PE,4
25003011003P2,PE,5
25003011025P6,PE,4
25003011006P1,PE,4
25003011005P5,PE,5
25003011017P3,PE,6
25003011019P6,PE,4
25003011036P8,PE,5
25003011074P7,PE,3
25003011027P9,PE,3
25003011001P0,PE,5
25003011013P8,PE,4
25003011029P1,PE,3
25003011022P7,PE,6
25003011071P8,PE,3
25003011015P0,PE,4
25003011012P1,PE,5
25004018071P4,PE,4
25004018009P7,PE,5
25004018072P0,PE,4
25004018006P8,PE,4
25004018010P5,PE,4
25004018074P3,PE,4
25004018070P8,PE,4
25004018013P4,PE,4
25004018014P0,PE,5
25004018012P8,PE,4
25004018019P2,PE,4
25004018018P6,PE,4
25004018008P0,PE,5
25004018015P7,PE,4
25004018011P1,PE,4
25004018073P7,PE,1
25004018016P3,PE,4
25004018075P0,PE,3
25005014003P5,PE,3
25005014004P1,PE,4
25005014002P9,PE,5
25005014001P2,PE,6
25007017001P5,PE,5
25007017002P1,PE,5
25009010001P1,PE,3
25017012001P7,PE,4
25018019001P3,PE,3
25019015002P6,PE,3
25019015001P0,PE,4
25020013042P2,BA,4
25020013010P3,PE,3
25020013040P0,PE,3
25020013043P9,PI,3
25020013008P9,PE,4
25020013004P3,BA,4
25020013002P0,PE,4
25020013001P4,PE,4
25020013009P5,PE,3
25020013003P7,PE,4
25020013006P6,PE,5
25020013005P0,PE,4
25020013011P0,BA,3
25025015002P2,PE,3
25025015001P6,PE,3
25046004001P0,PB,3
26001012015P0,AL,4
26001012028P5,AL,4
31102000001P6,AL,4
26001012174P1,AL,A
26001012034P5,AL,4
26001012001P0,AL,4
26001012172P9,AL,3
26001012005P5,AL,4
26001012031P6,AL,3
26001012038P0,AL,4
22003010017P5,AL,6
26001012030P0,AL,4
26001012171P2,AL,A
26001012170P6,AL,4
26001012022P7,AL,4
26001012020P4,AL,4
26001012024P0,AL,3
26001012016P7,AL,5
26001012011P5,AL,3
26001012017P3,AL,2
26001012036P8,AL,4
26001012033P9,AL,3
26001012029P1,AL,4
26001012173P5,AL,3
26001012082P0,AL,3
26001012018P0,AL,3
26001012014P4,AL,4
26001012019P6,AL,4
26001012027P9,AL,4
26001012023P3,AL,5
26001012003P2,AL,4
26001012032P2,AL,4
26001012012P1,AL,4
26001012035P1,AL,3
26001012025P6,AL,5
26001012002P6,AL,5
26001012010P9,AL,4
26001012013P8,AL,4
26002019001P6,AL,3
26004011001P9,AL,4
26005018001P5,AL,3
26006014001P1,AL,4
26006014003P4,AL,A
26006014002P8,AL,4
26017008001P4,PE,3
26038005001P4,PE,3
27001016176P7,SE,2
27001016017P6,SE,5
27001016011P8,SE,5
27001016025P9,SE,4
27001016040P8,SE,4
27001016044P3,SE,4
27001016001P2,SE,5
27001016043P7,SE,4
27001016009P3,SE,6
27001016015P3,SE,4
27001016021P3,SE,4
27001016049P5,SE,5
27001016174P4,SE,3
27001016042P0,SE,4
27001016013P0,SE,3
27001016177P3,SE,3
27001016010P1,SE,5
27001016037P7,SE,4
27001016179P6,SE,3
27001016041P4,SE,4
27001016038P3,SE,4
27001016028P8,SE,4
27001016047P2,SE,4
27001016035P4,SE,4
27001016003P5,SE,5
27001016034P8,SE,3
27001016046P6,SE,3
27001016172P1,SE,3
27001016180P4,SE,A
27001016033P1,SE,4
27001016173P8,SE,4
27001016170P9,SE,3
27001016016P0,SE,3
27001016175P0,SE,4
27001016045P0,SE,4
27001016171P5,SE,4
27001016039P0,SE,4
27001016014P7,SE,3
27001016022P0,SE,4
27001016048P9,SE,4
27001016027P1,SE,3
27001016007P0,SE,4
27001016019P9,SE,4
27001016008P7,SE,4
27001016029P4,SE,3
27001016036P0,SE,4
27001016026P5,SE,3
27001016031P9,SE,4
27001024001P8,SE,A
27002012003P1,SE,5
27002012001P9,SE,6
27002012002P5,SE,5
27002012004P8,SE,6
27002012005P4,SE,4
27005011001P8,SE,3
27011003001P9,AL,5
28001010053P9,BA,4
28001010065P7,BA,5
28001010042P7,BA,6
28001010076P9,BA,4
28001010023P2,BA,5
28001010083P5,BA,4
28001010019P5,BA,6
28001010044P0,BA,6
28001010058P0,BA,4
28001010067P0,BA,4
28001010057P4,BA,4
28001010001P9,BA,6
28001010095P3,BA,5
28001010079P8,BA,5
28001010037P3,BA,4
28001010003P1,BA,4
28001010093P0,BA,3
28001010013P7,BA,7
28001010075P2,BA,5
28001010091P8,BA,3
28001010005P4,BA,4
28001010051P6,BA,5
28001010171P1,BA,3
28001010177P0,BA,A
28001010039P6,BA,6
28001010012P0,BA,5
28001010024P9,BA,6
28001010059P7,BA,4
28001010015P0,BA,5
28001010078P1,BA,5
28001010077P5,BA,5
28001010071P7,BA,4
28001010038P0,BA,1
28001010054P5,BA,5
28001010175P7,BA,3
28001010014P3,BA,5
28001010062P8,BA,5
28001010021P0,BA,1
28001010080P6,BA,5
28001010085P8,BA,3
28001010060P5,BA,4
28001010056P8,BA,4
28001010172P8,BA,5
28001010011P4,BA,6
28001010089P3,BA,4
28001010072P3,BA,5
28001010088P7,BA,4
28001010004P8,BA,4
28001010026P1,BA,4
28001010007P7,BA,4
28001010176P3,BA,A
28001010049P1,BA,4
28001010082P9,BA,4
28001010025P5,BA,5
28001010064P0,BA,5
28001010063P4,BA,4
28001010047P9,BA,4
28001010029P0,BA,5
28001010035P0,BA,6
28001010045P6,BA,4
28001010002P5,BA,4
28001010174P0,BA,3
28001010036P7,BA,5
28001010094P7,BA,4
28001010173P4,BA,3
28001010061P1,BA,3
28001010055P1,BA,3
28001010081P2,BA,4
28001010073P0,BA,4
28001010041P0,BA,4
28001010170P5,BA,4
28001010032P1,BA,4
28001010092P4,BA,4
28001010048P5,BA,4
28001010030P9,BA,4
28001010022P6,BA,5
28001010052P2,BA,4
28001010020P3,BA,5
28001010040P4,BA,5
28001010010P8,BA,4
28002016008P6,BA,3
28002016003P4,BA,5
28002016016P9,BA,4
28002016005P7,BA,4
28002016004P0,BA,5
28002016014P6,BA,3
28002016020P6,BA,3
28002016015P2,BA,4
28002016012P3,BA,5
28002016017P5,BA,4
28002016018P1,BA,3
28002016006P3,BA,5
28002016010P0,BA,4
28002016002P8,BA,5
28002016011P7,BA,3
28002016007P0,BA,3
28002016009P2,BA,3
28002016013P0,BA,3
28003012003P0,BA,4
28003012004P7,BA,4
28003012007P6,BA,A
28003012002P4,BA,4
28005015009P1,BA,4
28005015078P3,BA,A
28005015074P8,BA,3
28005015075P4,BA,3
28005015011P6,BA,4
28005015001P0,BA,4
28005015071P9,BA,3
28005015013P9,BA,3
28005015003P3,BA,4
28005015004P0,BA,3
28005015008P5,BA,5
28005015070P2,BA,3
28005015014P5,BA,4
28005015010P0,BA,3
28005015073P1,BA,3
28005015005P6,BA,4
28005015072P5,BA,4
28005015077P7,BA,A
